=== RESULTS ===

Algorithm:	Apriori
Not-in-familyPrivatecg_0cl_0: 5411
Not-in-familyUnited-StatesWhitecg_0: 6161
Not-in-familyUnited-Statescg_0cl_0: 6711
Not-in-familyWhitecg_0cl_0: 6355
PrivateUnited-StatesWhitecg_0: 16292
PrivateUnited-StatesWhitecl_0: 16895
PrivateUnited-Statescg_0cl_0: 17660
PrivateWhitecg_0cl_0: 16988
United-Statescg_0cl_0no-spouse: 5594
Whitecg_0cl_0no-spouse: 5051
<40hHusbandMalePrivate: 5069
<40hHusbandMarried-civ-spousePrivate: 5068
<40hMaleMarried-civ-spousePrivate: 5146
<40hMarried-civ-spousePrivateUnited-States: 5182
<40hMarried-civ-spousePrivatecg_0: 5421
<40hMarried-civ-spousePrivatecl_0: 5733
<=50KMarried-civ-spousePrivatecg_0: 5207
<=50KMarried-civ-spousePrivatecl_0: 5338
HusbandMaleMarried-civ-spousePrivate: 8565
HusbandMalePrivateUnited-States: 7626
HusbandMalePrivatecg_0: 7579
HusbandMalePrivatecl_0: 8042
HusbandMarried-civ-spousePrivateUnited-States: 7621
HusbandMarried-civ-spousePrivatecg_0: 7574
HusbandMarried-civ-spousePrivatecl_0: 8037
HusbandPrivateUnited-Statescg_0: 6727
HusbandPrivateUnited-Statescl_0: 7143
HusbandPrivatecg_0cl_0: 7051
MaleMarried-civ-spousePrivateUnited-States: 7691
MaleMarried-civ-spousePrivatecg_0: 7669
MaleMarried-civ-spousePrivatecl_0: 8138
Married-civ-spousePrivateUnited-Statescg_0: 7562
Married-civ-spousePrivateUnited-Statescl_0: 8058
Married-civ-spousePrivatecg_0cl_0: 8016
25-35y<40hcg_0cl_0: 5157
25-35y<=50KPrivatecg_0: 5117
25-35y<=50KPrivatecl_0: 5146
25-35y<=50Kcg_0cl_0: 6432
25-35yPrivatecg_0cl_0: 5786
<40h<=50KFemalePrivate: 6041
<40h<=50KFemalecg_0: 7932
<40h<=50KFemalecl_0: 7998
<40hFemalePrivatecg_0: 6241
<40hFemalePrivatecl_0: 6337
<40hFemalecg_0cl_0: 8270
<=50KFemalePrivatecg_0: 6799
<=50KFemalePrivatecl_0: 6840
<=50KFemalecg_0cl_0: 8976
FemalePrivatecg_0cl_0: 7113
<40h<=50KFemaleUnited-States: 7387
<40h<=50KFemaleWhite: 6439
<40hFemalePrivateUnited-States: 5831
<40hFemalePrivateWhite: 5225
<40hFemaleUnited-StatesWhite: 6576
<40hFemaleUnited-Statescg_0: 7689
<40hFemaleUnited-Statescl_0: 7846
<40hFemaleWhitecg_0: 6747
<40hFemaleWhitecl_0: 6896
<40hMarried-civ-spousePrivateWhite: 5222
<=50KFemalePrivateUnited-States: 6264
<=50KFemalePrivateWhite: 5642
<=50KFemaleUnited-StatesWhite: 7004
<=50KFemaleUnited-Statescg_0: 8295
<=50KFemaleUnited-Statescl_0: 8368
<=50KFemaleWhitecg_0: 7331
<=50KFemaleWhitecl_0: 7394
FemalePrivateUnited-StatesWhite: 5772
FemalePrivateUnited-Statescg_0: 6567
FemalePrivateUnited-Statescl_0: 6699
FemalePrivateWhitecg_0: 5952
FemalePrivateWhitecl_0: 6069
FemaleUnited-StatesWhitecg_0: 7486
FemaleUnited-StatesWhitecl_0: 7670
FemaleUnited-Statescg_0cl_0: 8774
FemaleWhitecg_0cl_0: 7807
Married-civ-spousePrivateUnited-StatesWhite: 7942
Married-civ-spousePrivateWhitecg_0: 7657
Married-civ-spousePrivateWhitecl_0: 8154
>50KHusbandMaleMarried-civ-spouse: 5914
>50KHusbandMaleUnited-States: 5425
>50KHusbandMaleWhite: 5428
>50KHusbandMalecl_0: 5305
>50KHusbandMarried-civ-spouseUnited-States: 5421
>50KHusbandMarried-civ-spouseWhite: 5424
>50KHusbandMarried-civ-spousecl_0: 5301
>50KHusbandUnited-StatesWhite: 5122
>50KMaleMarried-civ-spouseUnited-States: 5441
>50KMaleMarried-civ-spouseWhite: 5444
>50KMaleMarried-civ-spousecl_0: 5325
>50KMaleUnited-StatesWhite: 5740
>50KMaleUnited-Statescl_0: 5491
>50KMaleWhitecl_0: 5477
>50KMarried-civ-spouseUnited-StatesWhite: 5751
>50KMarried-civ-spouseUnited-Statescl_0: 5494
>50KMarried-civ-spouseWhitecl_0: 5481
>50KUnited-StatesWhitecg_0: 5272
>50KUnited-StatesWhitecl_0: 6036
25-35yPrivateUnited-Statescl_0: 5418
25-35yPrivateWhitecl_0: 5189
25-35yUnited-StatesWhitecl_0: 6181
Never-marriedPrivateUnited-StatesWhite: 6194
Never-marriedPrivateUnited-Statescl_0: 7065
Never-marriedPrivateWhitecl_0: 6594
HusbandMalePrivateWhite: 7739
HusbandMarried-civ-spousePrivateWhite: 7734
HusbandPrivateUnited-StatesWhite: 7106
HusbandPrivateWhitecl_0: 7260
MaleMarried-civ-spousePrivateWhite: 7812
Some-collegeUnited-Statescg_0cl_0: 6028
25-35yMalecg_0cl_0: 5097
0-25y<40h<=50Kcg_0: 5392
0-25y<40h<=50Kcl_0: 5401
0-25y<40hcg_0cl_0: 5307
0-25y<=50KNever-marriedcg_0: 5297
0-25y<=50KNever-marriedcl_0: 5306
0-25y<=50KUnited-Statescg_0: 5538
0-25y<=50KUnited-Statescl_0: 5560
0-25y<=50KWhitecg_0: 5252
0-25y<=50KWhitecl_0: 5279
0-25y<=50Kcg_0cl_0: 6005
0-25yNever-marriedcg_0cl_0: 5194
0-25yUnited-Statescg_0cl_0: 5479
0-25yWhitecg_0cl_0: 5211
<40h<=50KNever-marriedPrivate: 6473
<40h<=50KNever-marriedcg_0: 8140
<40hNever-marriedPrivateUnited-States: 5867
<40hNever-marriedPrivateWhite: 5392
<40hNever-marriedPrivatecg_0: 6400
<40hNever-marriedPrivatecl_0: 6443
<40hNever-marriedUnited-Statescg_0: 7406
<40hNever-marriedWhitecg_0: 6665
<40hNever-marriedcg_0cl_0: 8048
<=50KNever-marriedPrivateUnited-States: 6972
<=50KNever-marriedPrivateWhite: 6494
<=50KNever-marriedPrivatecg_0: 7629
<=50KNever-marriedPrivatecl_0: 7658
<=50KNever-marriedUnited-Statescg_0: 8849
<=50KNever-marriedWhitecg_0: 8083
<=50KNever-marriedcg_0cl_0: 9617
Never-marriedPrivateUnited-Statescg_0: 6969
Never-marriedPrivateWhitecg_0: 6508
Never-marriedPrivatecg_0cl_0: 7634
Never-marriedUnited-StatesWhitecg_0: 7714
Never-marriedUnited-Statescg_0cl_0: 8873
Never-marriedWhitecg_0cl_0: 8127
25-35y<=50KUnited-Statescg_0: 5818
25-35y<=50KUnited-Statescl_0: 5858
25-35yPrivateUnited-Statescg_0: 5284
25-35yUnited-Statescg_0cl_0: 6669
<=50KMaleNever-marriedcg_0: 5421
MaleNever-marriedUnited-Statescg_0: 5008
MaleNever-marriedcg_0cl_0: 5475
25-35y<=50KUnited-StatesWhite: 5137
25-35y<=50KWhitecg_0: 5440
25-35y<=50KWhitecl_0: 5484
25-35yPrivateWhitecg_0: 5054
25-35yUnited-StatesWhitecg_0: 6027
25-35yWhitecg_0cl_0: 6293
HusbandPrivateWhitecg_0: 6830
<=50KSome-collegeUnited-Statescg_0: 5237
<=50KSome-collegeUnited-Statescl_0: 5286
<=50KSome-collegecg_0cl_0: 5519
Some-collegeUnited-StatesWhitecg_0: 5468
Some-collegeUnited-StatesWhitecl_0: 5633
Some-collegeWhitecg_0cl_0: 5533
35-50y<=50KUnited-StatesWhitecl_0: 5164
35-50yMaleUnited-StatesWhitecl_0: 6017
<40h<=50KMaleUnited-StatesWhite: 8201
<40h<=50KMaleUnited-Statescl_0: 9144
<40h<=50KMaleWhitecl_0: 8825
<40h<=50KNever-marriedUnited-StatesWhite: 6189
<40h<=50KNever-marriedUnited-Statescl_0: 7297
<40h<=50KNever-marriedWhitecl_0: 6550
<40h<=50KUnited-StatesWhitecl_0: 13701
<40hMaleUnited-StatesWhitecl_0: 10350
<40hNever-marriedUnited-StatesWhitecl_0: 6180
<=50KMaleUnited-StatesWhitecl_0: 11515
<=50KNever-marriedUnited-StatesWhitecl_0: 7449
<=50KNot-in-familyUnited-StatesWhitecl_0: 5657
35-50y<40hUnited-Statescg_0cl_0: 5354
35-50y<=50KUnited-StatesWhitecg_0: 5114
35-50y<=50KUnited-Statescg_0cl_0: 5809
35-50y<=50KWhitecg_0cl_0: 5400
35-50yHusbandMaleMarried-civ-spouseUnited-States: 5214
35-50yHusbandMaleMarried-civ-spouseWhite: 5233
35-50yHusbandMaleMarried-civ-spousecg_0: 5039
35-50yHusbandMaleMarried-civ-spousecl_0: 5376
35-50yMaleUnited-StatesWhitecg_0: 5675
35-50yMaleUnited-Statescg_0cl_0: 5742
35-50yMaleWhitecg_0cl_0: 5661
35-50yUnited-StatesWhitecg_0cl_0: 7277
<40h<=50KMaleUnited-Statescg_0: 9010
<40h<=50KMaleWhitecg_0: 8688
<40h<=50KMalecg_0cl_0: 9989
<40h<=50KMarried-civ-spousecg_0cl_0: 5189
<40h<=50KUnited-StatesWhitecg_0: 13532
<40h<=50KUnited-Statescg_0cl_0: 15649
<40h<=50KWhitecg_0cl_0: 14442
<40hHusbandMaleMarried-civ-spouseUnited-States: 6823
<40hHusbandMaleMarried-civ-spouseWhite: 6812
<40hHusbandMaleMarried-civ-spousecg_0: 6923
<40hHusbandMaleMarried-civ-spousecl_0: 7318
<40hHusbandMaleUnited-StatesWhite: 6215
<40hHusbandMaleUnited-Statescg_0: 6089
<40hHusbandMaleUnited-Statescl_0: 6445
<40hHusbandMaleWhitecg_0: 6091
<40hHusbandMaleWhitecl_0: 6442
<40hHusbandMalecg_0cl_0: 6503
<40hHusbandMarried-civ-spouseUnited-StatesWhite: 6214
<40hHusbandMarried-civ-spouseUnited-Statescg_0: 6088
<40hHusbandMarried-civ-spouseUnited-Statescl_0: 6444
<40hHusbandMarried-civ-spouseWhitecg_0: 6090
<40hHusbandMarried-civ-spouseWhitecl_0: 6441
<40hHusbandMarried-civ-spousecg_0cl_0: 6502
<40hHusbandUnited-StatesWhitecg_0: 5537
<40hHusbandUnited-StatesWhitecl_0: 5862
<40hHusbandUnited-Statescg_0cl_0: 5710
<40hHusbandWhitecg_0cl_0: 5720
<40hMaleMarried-civ-spouseUnited-StatesWhite: 6266
<40hMaleMarried-civ-spouseUnited-Statescg_0: 6146
<40hMaleMarried-civ-spouseUnited-Statescl_0: 6507
<40hMaleMarried-civ-spouseWhitecg_0: 6157
<40hMaleMarried-civ-spouseWhitecl_0: 6512
<40hMaleMarried-civ-spousecg_0cl_0: 6589
<40hMaleUnited-StatesWhitecg_0: 9952
<40hMaleUnited-Statescg_0cl_0: 10763
<40hMaleWhitecg_0cl_0: 10439
<40hMarried-civ-spouseUnited-StatesWhitecg_0: 6466
<40hMarried-civ-spouseUnited-StatesWhitecl_0: 6862
<40hMarried-civ-spouseUnited-Statescg_0cl_0: 6706
<40hMarried-civ-spouseWhitecg_0cl_0: 6692
<40hUnited-StatesWhitecg_0cl_0: 15439
<=50KHusbandMaleMarried-civ-spouseUnited-States: 6430
<=50KHusbandMaleMarried-civ-spouseWhite: 6506
<=50KHusbandMaleMarried-civ-spousecg_0: 6863
<=50KHusbandMaleMarried-civ-spousecl_0: 7026
<=50KHusbandMaleUnited-StatesWhite: 5930
<=50KHusbandMaleUnited-Statescg_0: 6080
<=50KHusbandMaleUnited-Statescl_0: 6217
<=50KHusbandMaleWhitecg_0: 6139
<=50KHusbandMaleWhitecl_0: 6290
<=50KHusbandMalecg_0cl_0: 6625
<=50KHusbandMarried-civ-spouseUnited-StatesWhite: 5926
<=50KHusbandMarried-civ-spouseUnited-Statescg_0: 6076
<=50KHusbandMarried-civ-spouseUnited-Statescl_0: 6213
<=50KHusbandMarried-civ-spouseWhitecg_0: 6135
<=50KHusbandMarried-civ-spouseWhitecl_0: 6286
<=50KHusbandMarried-civ-spousecg_0cl_0: 6621
<=50KHusbandUnited-StatesWhitecg_0: 5597
<=50KHusbandUnited-StatesWhitecl_0: 5721
<=50KHusbandUnited-Statescg_0cl_0: 5863
<=50KHusbandWhitecg_0cl_0: 5919
<=50KMaleMarried-civ-spouseUnited-StatesWhite: 5989
<=50KMaleMarried-civ-spouseUnited-Statescg_0: 6146
<=50KMaleMarried-civ-spouseUnited-Statescl_0: 6287
<=50KMaleMarried-civ-spouseWhitecg_0: 6214
<=50KMaleMarried-civ-spouseWhitecl_0: 6369
<=50KMaleMarried-civ-spousecg_0cl_0: 6722
<=50KMaleUnited-StatesWhitecg_0: 11350
<=50KMaleUnited-Statescg_0cl_0: 12341
<=50KMaleWhitecg_0cl_0: 12050
<=50KMarried-civ-spouseUnited-StatesWhitecg_0: 6235
<=50KMarried-civ-spouseUnited-StatesWhitecl_0: 6384
<=50KMarried-civ-spouseUnited-Statescg_0cl_0: 6594
<=50KMarried-civ-spouseWhitecg_0cl_0: 6628
<=50KUnited-StatesWhitecg_0cl_0: 17493
HusbandMaleMarried-civ-spouseUnited-StatesWhite: 11043
HusbandMaleMarried-civ-spouseUnited-Statescg_0: 10399
HusbandMaleMarried-civ-spouseUnited-Statescl_0: 11076
HusbandMaleMarried-civ-spouseWhitecg_0: 10464
HusbandMaleMarried-civ-spouseWhitecl_0: 11149
HusbandMaleMarried-civ-spousecg_0cl_0: 10730
HusbandMaleUnited-StatesWhitecg_0: 9676
HusbandMaleUnited-StatesWhitecl_0: 10314
HusbandMaleUnited-Statescg_0cl_0: 9632
HusbandMaleWhitecg_0cl_0: 9691
HusbandMarried-civ-spouseUnited-StatesWhitecg_0: 9669
HusbandMarried-civ-spouseUnited-StatesWhitecl_0: 10306
HusbandMarried-civ-spouseUnited-Statescg_0cl_0: 9625
HusbandMarried-civ-spouseWhitecg_0cl_0: 9684
HusbandUnited-StatesWhitecg_0cl_0: 8939
MaleMarried-civ-spouseUnited-StatesWhitecg_0: 9742
MaleMarried-civ-spouseUnited-StatesWhitecl_0: 10386
MaleMarried-civ-spouseUnited-Statescg_0cl_0: 9710
MaleMarried-civ-spouseWhitecg_0cl_0: 9777
MaleUnited-StatesWhitecg_0cl_0: 14909
Married-civ-spouseUnited-StatesWhitecg_0cl_0: 9996
35-50yPrivateUnited-StatesWhitecg_0: 5263
35-50yPrivateUnited-StatesWhitecl_0: 5542
35-50yPrivateUnited-Statescg_0cl_0: 5612
35-50yPrivateWhitecg_0cl_0: 5375
<40h<=50KHS-gradPrivatecg_0: 5003
<40h<=50KHS-gradPrivatecl_0: 5080
<40h<=50KHS-gradUnited-StatesWhite: 5177
<40h<=50KHS-gradUnited-Statescg_0: 5983
<40h<=50KHS-gradUnited-Statescl_0: 6071
<40h<=50KHS-gradWhitecg_0: 5294
<40h<=50KHS-gradWhitecl_0: 5386
<40h<=50KHS-gradcg_0cl_0: 6342
<40h<=50KMalePrivateUnited-States: 6661
<40h<=50KMalePrivateWhite: 6537
<40h<=50KMalePrivatecg_0: 7439
<40h<=50KMalePrivatecl_0: 7545
<40h<=50KNot-in-familycg_0cl_0: 5098
<40h<=50KPrivateUnited-StatesWhite: 10185
<40h<=50KPrivateUnited-Statescg_0: 11591
<40h<=50KPrivateUnited-Statescl_0: 11722
<40h<=50KPrivateWhitecg_0: 10891
<40h<=50KPrivateWhitecl_0: 11026
<40h<=50KPrivatecg_0cl_0: 12926
<40hHS-gradPrivateUnited-Statescg_0: 5045
<40hHS-gradPrivateUnited-Statescl_0: 5174
<40hHS-gradPrivatecg_0cl_0: 5366
<40hHS-gradUnited-StatesWhitecg_0: 5633
<40hHS-gradUnited-StatesWhitecl_0: 5803
<40hHS-gradUnited-Statescg_0cl_0: 6478
<40hHS-gradWhitecg_0cl_0: 5790
<40hMalePrivateUnited-StatesWhite: 7447
<40hMalePrivateUnited-Statescg_0: 7816
<40hMalePrivateUnited-Statescl_0: 8099
<40hMalePrivateWhitecg_0: 7700
<40hMalePrivateWhitecl_0: 7977
<40hMalePrivatecg_0cl_0: 8666
<40hPrivateUnited-StatesWhitecg_0: 11456
<40hPrivateUnited-StatesWhitecl_0: 11781
<40hPrivateUnited-Statescg_0cl_0: 12856
<40hPrivateWhitecg_0cl_0: 12186
<=50KHS-gradMaleUnited-Statescl_0: 5047
<=50KHS-gradMalecg_0cl_0: 5217
<=50KHS-gradPrivateUnited-StatesWhite: 5209
<=50KHS-gradPrivateUnited-Statescg_0: 5853
<=50KHS-gradPrivateUnited-Statescl_0: 5910
<=50KHS-gradPrivateWhitecg_0: 5346
<=50KHS-gradPrivateWhitecl_0: 5408
<=50KHS-gradPrivatecg_0cl_0: 6207
<=50KHS-gradUnited-StatesWhitecg_0: 6606
<=50KHS-gradUnited-StatesWhitecl_0: 6685
<=50KHS-gradUnited-Statescg_0cl_0: 7521
<=50KHS-gradWhitecg_0cl_0: 6804
<=50KMalePrivateUnited-StatesWhite: 8281
<=50KMalePrivateUnited-Statescg_0: 8913
<=50KMalePrivateUnited-Statescl_0: 9036
<=50KMalePrivateWhitecg_0: 8809
<=50KMalePrivateWhitecl_0: 8942
<=50KMalePrivatecg_0cl_0: 9916
<=50KNot-in-familyPrivatecg_0cl_0: 5053
<=50KNot-in-familyUnited-StatesWhitecg_0: 5635
<=50KNot-in-familyUnited-Statescg_0cl_0: 6209
<=50KNot-in-familyWhitecg_0cl_0: 5861
<=50KPrivateUnited-StatesWhitecg_0: 12903
<=50KPrivateUnited-StatesWhitecl_0: 13033
<=50KPrivateUnited-Statescg_0cl_0: 14514
<=50KPrivateWhitecg_0cl_0: 13821
<=50KUnited-Statescg_0cl_0no-spouse: 5199
HS-gradMaleUnited-StatesWhitecg_0: 5436
HS-gradMaleUnited-StatesWhitecl_0: 5613
HS-gradMaleUnited-Statescg_0cl_0: 5815
HS-gradMaleWhitecg_0cl_0: 5482
HS-gradPrivateUnited-StatesWhitecg_0: 5829
HS-gradPrivateUnited-StatesWhitecl_0: 5970
HS-gradPrivateUnited-Statescg_0cl_0: 6467
HS-gradPrivateWhitecg_0cl_0: 5968
HS-gradUnited-StatesWhitecg_0cl_0: 7473
MalePrivateUnited-StatesWhitecg_0: 10824
MalePrivateUnited-StatesWhitecl_0: 11325
MalePrivateUnited-Statescg_0cl_0: 11320
MalePrivateWhitecg_0cl_0: 11248
Not-in-familyUnited-StatesWhitecg_0cl_0: 5879
PrivateUnited-StatesWhitecg_0cl_0: 15459
<40hHusbandMaleMarried-civ-spousePrivate: 5067
<40hMarried-civ-spousePrivatecg_0cl_0: 5121
<=50KMarried-civ-spousePrivatecg_0cl_0: 5033
HusbandMaleMarried-civ-spousePrivateUnited-States: 7620
HusbandMaleMarried-civ-spousePrivatecg_0: 7573
HusbandMaleMarried-civ-spousePrivatecl_0: 8036
HusbandMalePrivateUnited-Statescg_0: 6726
HusbandMalePrivateUnited-Statescl_0: 7142
HusbandMalePrivatecg_0cl_0: 7050
HusbandMarried-civ-spousePrivateUnited-Statescg_0: 6721
HusbandMarried-civ-spousePrivateUnited-Statescl_0: 7137
HusbandMarried-civ-spousePrivatecg_0cl_0: 7045
HusbandPrivateUnited-Statescg_0cl_0: 6243
MaleMarried-civ-spousePrivateUnited-Statescg_0: 6785
MaleMarried-civ-spousePrivateUnited-Statescl_0: 7207
MaleMarried-civ-spousePrivatecg_0cl_0: 7139
Married-civ-spousePrivateUnited-Statescg_0cl_0: 7029
<40h<=50KFemalePrivatecg_0: 5849
<40h<=50KFemalePrivatecl_0: 5891
<40h<=50KFemalecg_0cl_0: 7710
<40hFemalePrivatecg_0cl_0: 6045
<=50KFemalePrivatecg_0cl_0: 6613
<40h<=50KFemalePrivateUnited-States: 5386
<40h<=50KFemaleUnited-StatesWhite: 5922
<40h<=50KFemaleUnited-Statescg_0: 7125
<40h<=50KFemaleUnited-Statescl_0: 7185
<40h<=50KFemaleWhitecg_0: 6205
<40h<=50KFemaleWhitecl_0: 6260
<40hFemalePrivateUnited-Statescg_0: 5564
<40hFemalePrivateUnited-Statescl_0: 5650
<40hFemalePrivateWhitecl_0: 5059
<40hFemaleUnited-StatesWhitecg_0: 6216
<40hFemaleUnited-StatesWhitecl_0: 6346
<40hFemaleUnited-Statescg_0cl_0: 7420
<40hFemaleWhitecg_0cl_0: 6505
<=50KFemalePrivateUnited-StatesWhite: 5171
<=50KFemalePrivateUnited-Statescg_0: 6063
<=50KFemalePrivateUnited-Statescl_0: 6096
<=50KFemalePrivateWhitecg_0: 5454
<=50KFemalePrivateWhitecl_0: 5488
<=50KFemaleUnited-StatesWhitecg_0: 6747
<=50KFemaleUnited-StatesWhitecl_0: 6798
<=50KFemaleUnited-Statescg_0cl_0: 8053
<=50KFemaleWhitecg_0cl_0: 7111
FemalePrivateUnited-StatesWhitecg_0: 5468
FemalePrivateUnited-StatesWhitecl_0: 5570
FemalePrivateUnited-Statescg_0cl_0: 6340
FemalePrivateWhitecg_0cl_0: 5740
FemaleUnited-StatesWhitecg_0cl_0: 7188
Married-civ-spousePrivateUnited-StatesWhitecg_0: 6976
Married-civ-spousePrivateUnited-StatesWhitecl_0: 7436
Married-civ-spousePrivateWhitecg_0cl_0: 7127
>50KHusbandMaleMarried-civ-spouseUnited-States: 5421
>50KHusbandMaleMarried-civ-spouseWhite: 5424
>50KHusbandMaleMarried-civ-spousecl_0: 5301
>50KHusbandMaleUnited-StatesWhite: 5122
>50KHusbandMarried-civ-spouseUnited-StatesWhite: 5118
>50KMaleMarried-civ-spouseUnited-StatesWhite: 5136
>50KMaleUnited-StatesWhitecl_0: 5164
>50KMarried-civ-spouseUnited-StatesWhitecl_0: 5161
Never-marriedPrivateUnited-StatesWhitecl_0: 6013
HusbandMaleMarried-civ-spousePrivateWhite: 7733
HusbandMalePrivateUnited-StatesWhite: 7105
HusbandMalePrivateWhitecl_0: 7259
HusbandMarried-civ-spousePrivateUnited-StatesWhite: 7100
HusbandMarried-civ-spousePrivateWhitecl_0: 7254
HusbandPrivateUnited-StatesWhitecl_0: 6647
MaleMarried-civ-spousePrivateUnited-StatesWhite: 7158
MaleMarried-civ-spousePrivateWhitecl_0: 7331
0-25y<40h<=50Kcg_0cl_0: 5272
0-25y<=50KNever-marriedcg_0cl_0: 5180
0-25y<=50KUnited-Statescg_0cl_0: 5410
0-25y<=50KWhitecg_0cl_0: 5141
<40h<=50KNever-marriedPrivateUnited-States: 5745
<40h<=50KNever-marriedPrivateWhite: 5273
<40h<=50KNever-marriedPrivatecg_0: 6306
<40h<=50KNever-marriedPrivatecl_0: 6314
<40h<=50KNever-marriedUnited-Statescg_0: 7283
<40h<=50KNever-marriedWhitecg_0: 6542
<40h<=50KNever-marriedcg_0cl_0: 7924
<40hNever-marriedPrivateUnited-Statescg_0: 5672
<40hNever-marriedPrivateUnited-Statescl_0: 5714
<40hNever-marriedPrivateWhitecg_0: 5217
<40hNever-marriedPrivateWhitecl_0: 5254
<40hNever-marriedPrivatecg_0cl_0: 6232
<40hNever-marriedUnited-StatesWhitecg_0: 6130
<40hNever-marriedUnited-Statescg_0cl_0: 7196
<40hNever-marriedWhitecg_0cl_0: 6478
<=50KNever-marriedPrivateUnited-StatesWhite: 5920
<=50KNever-marriedPrivateUnited-Statescg_0: 6762
<=50KNever-marriedPrivateUnited-Statescl_0: 6788
<=50KNever-marriedPrivateWhitecg_0: 6299
<=50KNever-marriedPrivateWhitecl_0: 6326
<=50KNever-marriedPrivatecg_0cl_0: 7429
<=50KNever-marriedUnited-StatesWhitecg_0: 7429
<=50KNever-marriedUnited-Statescg_0cl_0: 8601
<=50KNever-marriedWhitecg_0cl_0: 7862
Never-marriedPrivateUnited-StatesWhitecg_0: 5935
Never-marriedPrivateUnited-Statescg_0cl_0: 6764
Never-marriedPrivateWhitecg_0cl_0: 6317
Never-marriedUnited-StatesWhitecg_0cl_0: 7466
25-35y<=50KUnited-Statescg_0cl_0: 5622
25-35yPrivateUnited-Statescg_0cl_0: 5036
<=50KMaleNever-marriedcg_0cl_0: 5270
25-35y<=50KWhitecg_0cl_0: 5248
25-35yUnited-StatesWhitecg_0cl_0: 5729
HusbandMalePrivateWhitecg_0: 6829
HusbandMarried-civ-spousePrivateWhitecg_0: 6824
HusbandPrivateUnited-StatesWhitecg_0: 6253
HusbandPrivateWhitecg_0cl_0: 6350
MaleMarried-civ-spousePrivateWhitecg_0: 6896
<=50KSome-collegeUnited-Statescg_0cl_0: 5081
Some-collegeUnited-StatesWhitecg_0cl_0: 5229
<40h<=50KMaleUnited-StatesWhitecl_0: 7947
<40h<=50KNever-marriedUnited-StatesWhitecl_0: 6026
35-50yMaleUnited-StatesWhitecg_0cl_0: 5224
<40h<=50KMaleUnited-StatesWhitecg_0: 7824
<40h<=50KMaleUnited-Statescg_0cl_0: 8726
<40h<=50KMaleWhitecg_0cl_0: 8416
<40h<=50KUnited-StatesWhitecg_0cl_0: 13110
<40hHusbandMaleMarried-civ-spouseUnited-StatesWhite: 6213
<40hHusbandMaleMarried-civ-spouseUnited-Statescg_0: 6087
<40hHusbandMaleMarried-civ-spouseUnited-Statescl_0: 6443
<40hHusbandMaleMarried-civ-spouseWhitecg_0: 6089
<40hHusbandMaleMarried-civ-spouseWhitecl_0: 6440
<40hHusbandMaleMarried-civ-spousecg_0cl_0: 6501
<40hHusbandMaleUnited-StatesWhitecg_0: 5536
<40hHusbandMaleUnited-StatesWhitecl_0: 5861
<40hHusbandMaleUnited-Statescg_0cl_0: 5709
<40hHusbandMaleWhitecg_0cl_0: 5719
<40hHusbandMarried-civ-spouseUnited-StatesWhitecg_0: 5535
<40hHusbandMarried-civ-spouseUnited-StatesWhitecl_0: 5860
<40hHusbandMarried-civ-spouseUnited-Statescg_0cl_0: 5708
<40hHusbandMarried-civ-spouseWhitecg_0cl_0: 5718
<40hHusbandUnited-StatesWhitecg_0cl_0: 5183
<40hMaleMarried-civ-spouseUnited-StatesWhitecg_0: 5583
<40hMaleMarried-civ-spouseUnited-StatesWhitecl_0: 5912
<40hMaleMarried-civ-spouseUnited-Statescg_0cl_0: 5766
<40hMaleMarried-civ-spouseWhitecg_0cl_0: 5784
<40hMaleUnited-StatesWhitecg_0cl_0: 9453
<40hMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 6043
<=50KHusbandMaleMarried-civ-spouseUnited-StatesWhite: 5925
<=50KHusbandMaleMarried-civ-spouseUnited-Statescg_0: 6075
<=50KHusbandMaleMarried-civ-spouseUnited-Statescl_0: 6212
<=50KHusbandMaleMarried-civ-spouseWhitecg_0: 6134
<=50KHusbandMaleMarried-civ-spouseWhitecl_0: 6285
<=50KHusbandMaleMarried-civ-spousecg_0cl_0: 6620
<=50KHusbandMaleUnited-StatesWhitecg_0: 5596
<=50KHusbandMaleUnited-StatesWhitecl_0: 5720
<=50KHusbandMaleUnited-Statescg_0cl_0: 5862
<=50KHusbandMaleWhitecg_0cl_0: 5918
<=50KHusbandMarried-civ-spouseUnited-StatesWhitecg_0: 5592
<=50KHusbandMarried-civ-spouseUnited-StatesWhitecl_0: 5716
<=50KHusbandMarried-civ-spouseUnited-Statescg_0cl_0: 5858
<=50KHusbandMarried-civ-spouseWhitecg_0cl_0: 5914
<=50KHusbandUnited-StatesWhitecg_0cl_0: 5387
<=50KMaleMarried-civ-spouseUnited-StatesWhitecg_0: 5651
<=50KMaleMarried-civ-spouseUnited-StatesWhitecl_0: 5778
<=50KMaleMarried-civ-spouseUnited-Statescg_0cl_0: 5927
<=50KMaleMarried-civ-spouseWhitecg_0cl_0: 5991
<=50KMaleUnited-StatesWhitecg_0cl_0: 10952
<=50KMarried-civ-spouseUnited-StatesWhitecg_0cl_0: 6001
HusbandMaleMarried-civ-spouseUnited-StatesWhitecg_0: 9668
HusbandMaleMarried-civ-spouseUnited-StatesWhitecl_0: 10305
HusbandMaleMarried-civ-spouseUnited-Statescg_0cl_0: 9624
HusbandMaleMarried-civ-spouseWhitecg_0cl_0: 9683
